suite,run_id,status,workload_id,phase_id,config_id,arch_id,m,n,k,num_quantmac,num_rescalemac,energy_pj,energy_total_pj,energy_pj_per_output,latency_cycles,area_m2,bottleneck_component,workload_file,arch_file,mapping_file,breakdown_file,hardware_model,error,duration_s,cosine_similarity,sqnr_db,m_eval,n_eval,k_eval,input_source,effective_bits_per_weight,compression_vs_fp16
proposal,proposal__llm__decode__c0__baseline,ok,LLM,decode,C0,baseline,1,11008,4096,1,1,49827481.6,49827481.6,4526.479069767442,2818048.0,3.9067712000000004e-07,RF,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c0__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c0__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c0__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c0__baseline/breakdown.json,inference_prequantized,mapping serialization failed: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value' | total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,51.352,0.0,0.0,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,4.0,4.0
proposal,proposal__llm__decode__c1__baseline,ok,LLM,decode,C1,baseline,1,11008,4096,1,1,81456407.03999999,81456407.03999999,7399.746279069766,836864.0,3.8925712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c1__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c1__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c1__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c1__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,352.474,0.9738492038070842,12.835649964766098,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,4.25,3.764705882352941
proposal,proposal__llm__decode__c2__baseline,ok,LLM,decode,C2,baseline,1,11008,4096,1,1,104575508.47999999,104575508.47999999,9499.955348837208,969216.0,3.8925712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c2__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c2__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c2__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c2__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,458.711,0.97553022497767,13.150490485569943,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,4.5,3.5555555555555554
proposal,proposal__llm__decode__c3__baseline,ok,LLM,decode,C3,baseline,1,11008,4096,1,1,113675801.6,113675801.6,10326.653488372092,970076.0,3.8959712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c3__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c3__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c3__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c3__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,430.933,0.9806887821578814,14.135695079173747,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,5.0,3.2
proposal,proposal__llm__decode__c4__baseline,ok,LLM,decode,C4,baseline,1,11008,4096,1,1,136049740.79999998,136049740.79999998,12359.16976744186,1057624.0,3.9067712000000004e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c4__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c4__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c4__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c4__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,448.339,0.9804696859741018,14.082787604219785,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,6.0,2.6666666666666665
proposal,proposal__llm__decode__c5__baseline,ok,LLM,decode,C5,baseline,1,11008,4096,1,1,135970759.48,135970759.48,12351.994865552324,3788297.0,3.8942712e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c5__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c5__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c5__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c5__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,797.719,0.9774637679424265,12.630698034609939,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,4.500000354855559,3.5555552751758768
proposal,proposal__llm__decode__c6__baseline,ok,LLM,decode,C6,baseline,1,11008,4096,1,1,145016012.6,145016012.6,13173.693005087209,3788297.0,3.8959712e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c6__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c6__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c6__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c6__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,774.146,0.9803380173129563,14.068578670341196,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,5.000000354855559,3.199999772892458
proposal,proposal__llm__decode__c7__baseline,ok,LLM,decode,C7,baseline,1,11008,4096,1,1,164404197.99999997,164404197.99999997,14934.974382267439,6606345.0,3.9067712000000004e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c7__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c7__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c7__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c7__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,808.365,0.9814022761511791,14.275204538258704,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,4.500000709711119,3.5555549947962413
proposal,proposal__llm__decode__c8__baseline,ok,LLM,decode,C8,baseline,1,11008,4096,1,1,85495321.6,85495321.6,7766.653488372092,881496.0,3.8959712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c8__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c8__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c8__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c8__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,459.74,0.9807396152570264,14.147283536356507,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,5.0,3.2
proposal,proposal__llm__decode__c9__baseline,ok,LLM,decode,C9,baseline,1,11008,4096,1,1,93479879.47999999,93479879.47999999,8491.994865552324,3655857.0,3.8942712e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c9__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c9__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c9__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__llm__decode__c9__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,805.324,0.9774271713424587,12.636154467797127,1,16,4096,/home/workspace/workspace/lab_4/project4_m1/accuracy_inputs/llm_ffn_layer.npz,4.500000354855559,3.5555552751758768
